,FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
0,2022-04-11,1.7417,1.7417,,,1,-2.81,开放申购,开放赎回,,,,
1,2022-04-08,1.7921,1.7921,,,1,2.68,开放申购,开放赎回,,,,
2,2022-04-07,1.7454,1.7454,,,1,0.81,开放申购,开放赎回,,,,
3,2022-04-06,1.7314,1.7314,,,1,-1.40,开放申购,开放赎回,,,,
4,2022-04-01,1.7560,1.7560,,,1,1.35,开放申购,开放赎回,,,,
5,2022-03-31,1.7326,1.7326,,,1,-1.27,开放申购,开放赎回,,,,
6,2022-03-30,1.7548,1.7548,,,1,0.94,开放申购,开放赎回,,,,
7,2022-03-29,1.7384,1.7384,,,1,-0.60,开放申购,开放赎回,,,,
8,2022-03-28,1.7489,1.7489,,,1,-2.44,开放申购,开放赎回,,,,
9,2022-03-25,1.7926,1.7926,,,1,3.33,开放申购,开放赎回,,,,
10,2022-03-24,1.7348,1.7348,,,1,0.54,开放申购,开放赎回,,,,
11,2022-03-23,1.7255,1.7255,,,1,2.15,开放申购,开放赎回,,,,
12,2022-03-22,1.6891,1.6891,,,1,-0.90,开放申购,开放赎回,,,,
13,2022-03-21,1.7044,1.7044,,,1,4.25,开放申购,开放赎回,,,,
14,2022-03-18,1.6349,1.6349,,,1,0.39,开放申购,开放赎回,,,,
15,2022-03-17,1.6286,1.6286,,,1,3.61,开放申购,开放赎回,,,,
16,2022-03-16,1.5718,1.5718,,,1,0.41,开放申购,开放赎回,,,,
17,2022-03-15,1.5654,1.5654,,,1,-1.13,开放申购,开放赎回,,,,
18,2022-03-14,1.5833,1.5833,,,1,-2.40,开放申购,开放赎回,,,,
19,2022-03-11,1.6223,1.6223,,,1,-1.17,开放申购,开放赎回,,,,
20,2022-03-10,1.6415,1.6415,,,1,2.29,开放申购,开放赎回,,,,
21,2022-03-09,1.6047,1.6047,,,1,-1.50,开放申购,开放赎回,,,,
22,2022-03-08,1.6292,1.6292,,,1,-0.94,开放申购,开放赎回,,,,
23,2022-03-07,1.6446,1.6446,,,1,-0.04,开放申购,开放赎回,,,,
24,2022-03-04,1.6452,1.6452,,,1,2.89,开放申购,开放赎回,,,,
25,2022-03-03,1.5990,1.5990,,,1,-1.03,开放申购,开放赎回,,,,
26,2022-03-02,1.6156,1.6156,,,1,1.87,开放申购,开放赎回,,,,
27,2022-03-01,1.5859,1.5859,,,1,0.34,开放申购,开放赎回,,,,
28,2022-02-28,1.5805,1.5805,,,1,3.25,开放申购,开放赎回,,,,
29,2022-02-25,1.5307,1.5307,,,1,1.92,开放申购,开放赎回,,,,
30,2022-02-24,1.5018,1.5018,,,1,0.25,开放申购,开放赎回,,,,
31,2022-02-23,1.4981,1.4981,,,1,0.65,开放申购,开放赎回,,,,
32,2022-02-22,1.4884,1.4884,,,1,-1.89,开放申购,开放赎回,,,,
33,2022-02-21,1.5170,1.5170,,,1,0.07,暂停申购,暂停赎回,,,,
34,2022-02-18,1.5159,1.5159,,,1,-0.54,开放申购,开放赎回,,,,
35,2022-02-17,1.5241,1.5241,,,1,0.26,开放申购,开放赎回,,,,
36,2022-02-16,1.5201,1.5201,,,1,0.22,开放申购,开放赎回,,,,
37,2022-02-15,1.5167,1.5167,,,1,-1.27,开放申购,开放赎回,,,,
38,2022-02-14,1.5362,1.5362,,,1,-2.14,开放申购,开放赎回,,,,
39,2022-02-11,1.5698,1.5698,,,1,2.72,开放申购,开放赎回,,,,
40,2022-02-10,1.5283,1.5283,,,1,-0.14,开放申购,开放赎回,,,,
41,2022-02-09,1.5305,1.5305,,,1,1.22,开放申购,开放赎回,,,,
42,2022-02-08,1.5121,1.5121,,,1,-2.02,开放申购,开放赎回,,,,
43,2022-02-07,1.5433,1.5433,,,1,4.30,开放申购,开放赎回,,,,
44,2022-01-28,1.4797,1.4797,,,1,0.93,开放申购,开放赎回,,,,
45,2022-01-27,1.4661,1.4661,,,1,1.33,开放申购,开放赎回,,,,
46,2022-01-26,1.4468,1.4468,,,1,-0.58,开放申购,开放赎回,,,,
47,2022-01-25,1.4553,1.4553,,,1,3.70,开放申购,开放赎回,,,,
48,2022-01-24,1.4034,1.4034,,,1,0.75,开放申购,开放赎回,,,,
49,2022-01-21,1.3929,1.3929,,,1,-2.67,开放申购,开放赎回,,,,
50,2022-01-20,1.4311,1.4311,,,1,-2.29,开放申购,开放赎回,,,,
51,2022-01-19,1.4647,1.4647,,,1,-0.79,开放申购,开放赎回,,,,
52,2022-01-18,1.4764,1.4764,,,1,-0.72,开放申购,开放赎回,,,,
53,2022-01-17,1.4871,1.4871,,,1,-0.12,暂停申购,暂停赎回,,,,
54,2022-01-14,1.4889,1.4889,,,1,2.85,开放申购,开放赎回,,,,
55,2022-01-13,1.4476,1.4476,,,1,-1.04,开放申购,开放赎回,,,,
56,2022-01-12,1.4628,1.4628,,,1,1.02,开放申购,开放赎回,,,,
57,2022-01-11,1.4481,1.4481,,,1,3.24,开放申购,开放赎回,,,,
58,2022-01-10,1.4027,1.4027,,,1,-0.36,开放申购,开放赎回,,,,
59,2022-01-07,1.4077,1.4077,,,1,1.17,开放申购,开放赎回,,,,
60,2022-01-06,1.3914,1.3914,,,1,2.88,开放申购,开放赎回,,,,
61,2022-01-05,1.3525,1.3525,,,1,-1.45,开放申购,开放赎回,,,,
62,2022-01-04,1.3724,1.3724,,,1,6.88,开放申购,开放赎回,,,,
63,2021-12-31,1.2841,1.2841,,,1,0.18,开放申购,开放赎回,,,,
